run_id,date,purpose,status,log_path,device_resolved,config_variant,seq_len,batch_size,grad_accum_steps,lr,lr_min,weight_decay,warmup_steps,max_steps,target_tokens,cosine_decay,save_every,eval_every,max_tokens,max_tokens_val,final_train_loss,final_eval_loss,final_eval_ppl,best_eval_loss,best_eval_ppl,best_eval_step,notes
sanity_v1_2026-04-08,2026-04-08,sanity_overfit,inconclusive,titan_sanity_overfit.log,mps,original_sanity_config,1024,2,1,0.0003,0.00003,0.1,50,500,200000,true,250,100,200000,200000,5.2556,5.2248,185.82,5.2248,185.82,500,"Local pipeline proved functional, but the overfit gate was too weak to count as a decisive pass."
sanity_v2_2026-04-08,2026-04-08,sanity_overfit,pass,titan_sanity_overfit_v2.log,mps,tightened_overfit_config,256,2,1,0.0006,0.0006,0.0,10,1000,50000,false,500,100,50000,50000,1.3688,1.1401,3.13,1.1401,3.13,1000,"Tightened sanity config produced a strong overfit signal and is the current local validation baseline before AWS rebuild work."
sanity_sweep_lr_4e4_20260408T105050,2026-04-08,sanity_overfit,pass,model_training/titanProject/logs/sanity_sweep/sanity_sweep_lr_4e4_20260408T105050.log,mps,sweep_lr_4e4,256,2,1,0.0004,0.0004,0.0,10,1000,50000,false,500,100,50000,50000,0.3108,0.2252,1.25,0.2252,1.25,1000,Lower constant learning rate than the current passing baseline.
sanity_sweep_lr_8e4_20260408T105632,2026-04-08,sanity_overfit,promising,model_training/titanProject/logs/sanity_sweep/sanity_sweep_lr_8e4_20260408T105632.log,mps,sweep_lr_8e4,256,2,1,0.0008,0.0008,0.0,10,1000,50000,false,500,100,50000,50000,3.3555,3.2051,24.66,3.2051,24.66,1000,Higher constant learning rate than the current passing baseline.
sanity_sweep_seq_128_20260408T110210,2026-04-08,sanity_overfit,inconclusive,model_training/titanProject/logs/sanity_sweep/sanity_sweep_seq_128_20260408T110210.log,mps,sweep_seq_128,128,2,1,0.0006,0.0006,0.0,10,1000,50000,false,500,100,50000,50000,5.0486,4.4562,86.16,4.4562,86.16,1000,Shorter sequence length to increase repeat exposure per context window.
sanity_sweep_warmup_0_20260408T110626,2026-04-08,sanity_overfit,pass,model_training/titanProject/logs/sanity_sweep/sanity_sweep_warmup_0_20260408T110626.log,mps,sweep_warmup_0,256,2,1,0.0006,0.0006,0.0,0,1000,50000,false,500,100,50000,50000,1.5509,1.1723,3.23,1.1723,3.23,1000,Removes the remaining warmup to test fully aggressive early fitting.
sanity_rerun_lr_4e4_20260414T004147,2026-04-14,sanity_overfit,pass,/Users/beardface/.cursor/projects/Users-beardface-lab-wintermute/terminals/72034.txt,mps,checked_in_config_revalidated_lr_4e4,256,2,1,0.0004,0.0004,0.0,10,1000,50000,false,500,100,50000,50000,0.2773,0.2596,1.30,0.2596,1.30,1000,"Revalidated the checked-in sanity config after patching lr/lr_min from 6e-4 to the best recorded local baseline 4e-4. Checkpoint saves at steps 500 and 1000 succeeded after local disk cleanup."
